Student ID,Display Name,Team ID,Team Name,Team Grade,Adjustment,Final Grade
s2603,Chloe Dubois,1,Aurora Devices,86.1,0.0,86.1
s2604,Dev Patel,1,Aurora Devices,86.1,0.0,86.1
s2605,Emma Rossi,1,Aurora Devices,86.1,0.0,86.1
s2606,Felix Wang,2,Prism Tech,90.0,0.0,90.0
s2608,Hugo Silva,2,Prism Tech,90.0,0.0,90.0
s2611,Kai Tanaka,3,Nova Circuit,85.0,0.0,85.0
s2612,Lina Haddad,4,Eclipse Gadgets,60.3,0.0,60.3
s2613,Marco Ruiz,4,Eclipse Gadgets,60.3,0.0,60.3
s2614,Nora Ali,4,Eclipse Gadgets,60.3,0.0,60.3
s2615,Omar Farah,5,Meridian Tech,60.2,0.0,60.2
s2616,Priya Nair,5,Meridian Tech,60.2,0.0,60.2
s2617,Quinn Murphy,5,Meridian Tech,60.2,0.0,60.2
s2618,Rui Zhang,6,Cipher Systems,60.0,0.0,60.0
s2619,Sara Lund,6,Cipher Systems,60.0,0.0,60.0
s2620,Tomas Horak,6,Cipher Systems,60.0,0.0,60.0
s2621,Uma Iyer,7,Stratos Electronics,60.4,0.0,60.4
s2622,Viktor Popov,7,Stratos Electronics,60.4,0.0,60.4
s2623,Wei Liu,7,Stratos Electronics,60.4,0.0,60.4
s2624,Xin Zhao,8,Titan Micro,60.1,0.0,60.1
s2625,Yara Said,8,Titan Micro,60.1,0.0,60.1
s2626,Zoe Martin,8,Titan Micro,60.1,0.0,60.1
s2601,Ava Chen,1,Aurora Devices,86.1,0.0,86.1
s2602,Ben Okafor,1,Aurora Devices,86.1,0.0,86.1
s2607,Grace Kim,2,Prism Tech,90.0,0.0,90.0
s2610,Jonas Berg,3,Nova Circuit,85.0,0.0,85.0
s2609,Iris Novak,3,Nova Circuit,85.0,0.0,85.0
