Student ID,Display Name,Team ID,Team Name,Team Grade,Adjustment,Final Grade
s2603,Chloe Dubois,1,Aurora Devices,90.0,0.0,90.0
s2605,Emma Rossi,1,Aurora Devices,90.0,0.0,90.0
s2604,Dev Patel,1,Aurora Devices,90.0,0.0,90.0
s2606,Felix Wang,2,Nova Circuit,74.4,0.0,74.4
s2608,Hugo Silva,2,Nova Circuit,74.4,0.0,74.4
s2611,Kai Tanaka,3,Meridian Tech,77.1,0.0,77.1
s2612,Lina Haddad,4,Solaris Consumer,73.6,0.0,73.6
s2615,Omar Farah,5,Apex Devices,60.0,0.0,60.0
s2616,Priya Nair,5,Apex Devices,60.0,0.0,60.0
s2617,Quinn Murphy,5,Apex Devices,60.0,0.0,60.0
s2618,Rui Zhang,6,Zenith Hardware,60.3,0.0,60.3
s2619,Sara Lund,6,Zenith Hardware,60.3,0.0,60.3
s2620,Tomas Horak,6,Zenith Hardware,60.3,0.0,60.3
s2621,Uma Iyer,7,Helix Digital,60.6,0.0,60.6
s2622,Viktor Popov,7,Helix Digital,60.6,0.0,60.6
s2623,Wei Liu,7,Helix Digital,60.6,0.0,60.6
s2624,Xin Zhao,8,Lumen Devices,60.4,0.0,60.4
s2625,Yara Said,8,Lumen Devices,60.4,0.0,60.4
s2626,Zoe Martin,8,Lumen Devices,60.4,0.0,60.4
s2614,Nora Ali,4,Solaris Consumer,73.6,0.0,73.6
s2607,Grace Kim,2,Nova Circuit,74.4,0.0,74.4
s2610,Jonas Berg,3,Meridian Tech,77.1,0.0,77.1
s2602,Ben Okafor,1,Aurora Devices,90.0,0.0,90.0
s2613,Marco Ruiz,4,Solaris Consumer,73.6,0.0,73.6
s2601,Ava Chen,1,Aurora Devices,90.0,0.0,90.0
s2609,Iris Novak,3,Meridian Tech,77.1,0.0,77.1
